Date,Time,User,Email,"Origin Lat","Origin Lng","Dest Lat","Dest Lng","Distance (km)","Duration (min)"
2026-04-14,16:02:01,Guest,N/A,9.61090520,124.19906616,9.72191622,123.88046265,48.89,67
2026-04-14,13:56:39,"Super Admin",admin@farewaybohol.com,9.95125633,123.96270990,9.91836885,123.92799139,5.29,7
2026-04-14,13:54:49,"Super Admin",admin@farewaybohol.com,9.95054831,123.96294594,9.96105218,124.02461529,7.40,9
2026-04-14,08:03:24,Guest,N/A,9.94551816,123.97727966,9.57918510,123.74526420,64.09,79
2026-04-13,16:42:20,"Super Admin",admin@farewaybohol.com,9.92082602,123.92712235,9.80000000,124.16666600,47.85,49
2026-04-13,14:40:18,"Super Admin",admin@farewaybohol.com,9.96775165,124.24318314,9.57872464,123.74746799,89.57,109
2026-04-12,13:45:22,"Super Admin",admin@farewaybohol.com,9.99792929,124.24026489,9.95026830,123.97613820,44.06,53
2026-04-12,13:25:57,Guest,N/A,10.05590981,124.13967133,9.68130669,123.98757935,60.31,77
2026-04-12,08:22:37,"Juan Dela Cruz",juan@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-12,04:22:37,"Juan Dela Cruz",juan@example.com,9.92100000,124.29000000,9.91670000,124.13330000,22.50,40
2026-04-12,04:22:37,"Maria Santos",maria@example.com,9.92100000,124.29000000,9.94530000,124.24390000,12.50,25
2026-04-12,03:22:37,"Ana Flores",ana@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-12,00:22:37,"Ana Flores",ana@example.com,9.92100000,124.29000000,9.70890000,124.10390000,28.40,48
2026-04-11,23:22:37,"Pedro Reyes",pedro@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-11,23:22:37,"Juan Dela Cruz",juan@example.com,9.63810000,124.03470000,9.68720000,123.95220000,15.30,28
2026-04-11,21:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.70890000,124.10390000,28.40,48
2026-04-11,19:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-11,16:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-11,16:22:37,"Juan Dela Cruz",juan@example.com,9.63810000,124.03470000,9.68720000,123.95220000,15.30,28
2026-04-11,13:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.70890000,124.10390000,28.40,48
2026-04-11,08:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-11,05:22:37,"Maria Santos",maria@example.com,9.92100000,124.29000000,9.70890000,124.10390000,28.40,48
2026-04-11,01:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-10,16:22:37,"Ana Flores",ana@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-10,11:22:37,"Juan Dela Cruz",juan@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-10,10:22:37,"Ana Flores",ana@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-10,00:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.94530000,124.24390000,12.50,25
2026-04-09,17:22:37,"Pedro Reyes",pedro@example.com,9.63810000,124.03470000,9.68720000,123.95220000,15.30,28
2026-04-09,13:22:38,"Maria Santos",maria@example.com,9.92100000,124.29000000,9.91670000,124.13330000,22.50,40
2026-04-09,08:22:37,"Maria Santos",maria@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-09,08:22:37,"Carlos Mendoza",carlos@example.com,9.54890000,123.77310000,9.62030000,123.76940000,18.70,32
2026-04-09,06:22:38,"Maria Santos",maria@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-08,16:22:37,"Pedro Reyes",pedro@example.com,9.54890000,123.77310000,9.62030000,123.76940000,18.70,32
2026-04-08,16:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-08,13:22:37,"Ana Flores",ana@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-08,08:22:37,"Pedro Reyes",pedro@example.com,9.54890000,123.77310000,9.62030000,123.76940000,18.70,32
2026-04-08,06:22:37,"Carlos Mendoza",carlos@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-08,05:22:37,"Juan Dela Cruz",juan@example.com,9.54890000,123.77310000,9.62030000,123.76940000,18.70,32
2026-04-07,23:22:37,"Ana Flores",ana@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-07,22:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-07,20:22:37,"Maria Santos",maria@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-07,16:22:38,"Maria Santos",maria@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-07,16:22:37,"Pedro Reyes",pedro@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-07,14:22:37,"Juan Dela Cruz",juan@example.com,9.92100000,124.29000000,9.91670000,124.13330000,22.50,40
2026-04-07,09:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.94530000,124.24390000,12.50,25
2026-04-07,06:22:37,"Carlos Mendoza",carlos@example.com,9.92100000,124.29000000,9.54890000,123.77310000,45.20,75
2026-04-07,04:22:37,"Juan Dela Cruz",juan@example.com,9.54890000,123.77310000,9.63810000,124.03470000,32.80,55
2026-04-07,03:22:37,"Ana Flores",ana@example.com,9.92100000,124.29000000,9.70890000,124.10390000,28.40,48
